Token: NUMBER(2) (line 1, column 2)
Token: PLUS (line 1, column 3)
Token: NUMBER(3) (line 1, column 4)
Token: MULTIPLY (line 1, column 5)
Token: LPAREN (line 1, column 6)
Token: NUMBER(76) (line 1, column 8)
Token: PLUS (line 1, column 9)
Token: NUMBER(8) (line 1, column 10)
Token: DIVIDE (line 1, column 11)
Token: NUMBER(3) (line 1, column 12)
Token: RPAREN (line 1, column 13)
Token: PLUS (line 1, column 14)
Token: NUMBER(3) (line 1, column 16)
Token: MULTIPLY (line 1, column 17)
Token: LPAREN (line 1, column 18)
Token: NUMBER(9) (line 1, column 19)
Token: MINUS (line 1, column 20)
Token: NUMBER(3) (line 1, column 21)
Token: RPAREN (line 1, column 22)
Token: EOF (line 1, column 22)
